"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"17417","434","15073","489","300","142","13518","529","1255","225","2344","312","0500000US06009","Calaveras County, California"
"7113","174","5976","247","31","24","5474","252","471","122","1137","190","0500000US06011","Colusa County, California"
"392277","1405","370116","1744","949","190","352003","1983","17164","1030","22161","995","0500000US06013","Contra Costa County, California"
"9799","314","8571","329","37","29","7483","349","1051","205","1228","255","0500000US06015","Del Norte County, California"
"69172","735","64430","711","464","140","59114","833","4852","499","4742","478","0500000US06017","El Dorado County, California"
"304624","1206","267065","1618","1240","212","235023","1764","30802","1197","37559","1130","0500000US06019","Fresno County, California"
"10017","225","8341","291","66","43","6971","362","1304","250","1676","247","0500000US06021","Glenn County, California"
"54267","676","48738","787","230","82","43696","872","4812","503","5529","466","0500000US06023","Humboldt County, California"
"44057","845","37309","977","239","116","32215","825","4855","540","6748","608","0500000US06025","Imperial County, California"
"8083","212","7256","269","17","14","6270","296","969","183","827","147","0500000US06027","Inyo County, California"
"267913","1297","228712","1794","1207","206","203831","1938","23674","1265","39201","1533","0500000US06029","Kern County, California"
"42735","539","37560","679","204","82","32754","723","4602","508","5175","456","0500000US06031","Kings County, California"
"25966","628","21733","599","143","72","18675","612","2915","395","4233","425","0500000US06033","Lake County, California"
"9493","354","7990","399","103","45","7153","392","734","168","1503","221","0500000US06035","Lassen County, California"
"3306109","5533","2989974","7086","11780","668","2695212","8372","282982","3792","316135","3916","0500000US06037","Los Angeles County, California"
"44759","607","39082","729","192","80","34039","815","4851","576","5677","483","0500000US06039","Madera County, California"
"105258","753","99111","875","303","106","94843","925","3965","469","6147","521","0500000US06041","Marin County, California"
"7700","351","6710","326","163","78","5817","339","730","189","990","208","0500000US06043","Mariposa County, California"
"34090","621","29268","772","420","137","26251","769","2597","373","4822","440","0500000US06045","Mendocino County, California"
"79606","596","70974","755","469","166","62693","941","7812","660","8632","585","0500000US06047","Merced County, California"
"3660","173","2779","224","0","17","2503","218","276","92","881","164","0500000US06049","Modoc County, California"
"4847","426","4428","392","35","37","4036","377","357","142","419","169","0500000US06051","Mono County, California"
"126052","906","110447","1048","383","110","101033","1169","9031","647","15605","797","0500000US06053","Monterey County, California"
"49032","491","45419","635","188","54","42598","631","2633","301","3613","415","0500000US06055","Napa County, California"
"40904","677","37429","748","269","99","34270","718","2890","414","3475","411","0500000US06057","Nevada County, California"
"1032373","2799","974586","3143","4751","473","917763","3266","52072","1569","57787","1464","0500000US06059","Orange County, California"
"140661","914","132400","1004","664","190","123709","1163","8027","645","8261","499","0500000US06061","Placer County, California"
"8047","337","6778","332","75","46","6070","334","633","143","1269","225","0500000US06063","Plumas County, California"
"718349","2722","657216","3089","2745","344","603261","3565","51210","1779","61133","1571","0500000US06065","Riverside County, California"
"536029","1825","499475","2067","2117","253","456573","2280","40785","1546","36554","1198","0500000US06067","Sacramento County, California"
"17740","181","16658","255","61","31","15601","316","996","195","1082","206","0500000US06069","San Benito County, California"
"630633","2099","574948","2468","2160","262","511244","2688","61544","1575","55685","1662","0500000US06071","San Bernardino County, California"
"1118980","3147","1051246","3394","2696","313","988501","4055","60049","1987","67734","1906","0500000US06073","San Diego County, California"
"359673","1844","330605","2181","976","243","307971","2236","21658","1326","29068","1149","0500000US06075","San Francisco County, California"
"226727","913","201039","1252","1641","317","179790","1439","19608","1101","25688","931","0500000US06077","San Joaquin County, California"
"105317","1020","97444","1086","595","125","90319","1138","6530","608","7873","629","0500000US06079","San Luis Obispo County, California"
"261969","1067","247758","1277","740","158","233925","1449","13093","734","14211","743","0500000US06081","San Mateo County, California"
"144962","885","132496","1005","836","216","122994","1062","8666","620","12466","714","0500000US06083","Santa Barbara County, California"
"635525","1810","605466","2202","1933","308","573891","2329","29642","1241","30059","1124","0500000US06085","Santa Clara County, California"
"95756","961","87694","1221","255","89","82156","1272","5283","594","8062","706","0500000US06087","Santa Cruz County, California"
"70473","580","62041","710","490","101","55238","881","6313","532","8432","511","0500000US06089","Shasta County, California"
"1241","141","979","145","4","8","909","152","66","47","262","104","0500000US06091","Sierra County, California"
"19257","305","16453","335","143","50","14902","372","1408","176","2804","249","0500000US06093","Siskiyou County, California"
"149067","608","138661","711","395","112","131255","829","7011","512","10406","577","0500000US06095","Solano County, California"
"189339","918","176225","1189","1042","210","163836","1376","11347","842","13114","849","0500000US06097","Sonoma County, California"
"172682","777","155165","1171","631","135","141707","1266","12827","820","17517","911","0500000US06099","Stanislaus County, California"
"32360","312","28723","473","146","57","26346","518","2231","268","3637","391","0500000US06101","Sutter County, California"
"24025","435","19945","537","214","90","16941","576","2790","398","4080","445","0500000US06103","Tehama County, California"
"5796","216","4750","241","64","58","3842","249","844","196","1046","180","0500000US06105","Trinity County, California"
"136106","817","114238","1087","735","205","98180","1380","15323","893","21868","1110","0500000US06107","Tulare County, California"
"22427","607","19920","643","172","70","17455","701","2293","360","2507","375","0500000US06109","Tuolumne County, California"
"271226","1122","249158","1304","679","151","233889","1411","14590","840","22068","908","0500000US06111","Ventura County, California"
"73510","592","68507","668","267","96","63330","766","4910","475","5003","484","0500000US06113","Yolo County, California"
"26179","329","23373","486","141","81","20909","594","2323","364","2806","328","0500000US06115","Yuba County, California"
"164353","655","151894","931","768","173","134208","1355","16918","1077","12459","718","0500000US08001","Adams County, Colorado"
"6153","209","5215","251","67","66","4394","269","754","167","938","151","0500000US08003","Alamosa County, Colorado"
